house,bias,Herbology,Ancient Runes,Flying,Defense Against the Dark Arts,Divination,Charms,History of Magic
Gryffindor,-20.812362784400506,-0.21296143985125204,0.00890003276764706,0.01308671617472408,-0.08124484256898631,0.15659482291829488,-0.05527224357463894,-0.21650485359514013
Hufflepuff,-13.388436788844217,0.2928208771204536,-0.01887902100723501,-0.005286975731332215,-0.405171238245777,0.2179856748599741,-0.07948450386741379,0.13881289487118922
Ravenclaw,34.66099456943418,0.12005701435459097,0.014892652764999877,-0.002853246240394765,0.26633061090096316,0.06543955028580567,0.18340463989751898,0.030212387065278543
Slytherin,-10.245671144564424,-0.15530364350694845,-0.00681891322048396,-0.005588939822337174,0.21669424119125197,-0.45824046449251593,-0.04893102418526195,0.07255137822687095
