epoch,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
0,0.7843326368666528,0.43201754385964913,0.7024064804470392,0.5309734513274337,0.536723163841808,0.5392354124748491,0.5256237623762376
1,0.742304408373406,0.47368421052631576,0.661601294672139,0.584070796460177,0.5807210031347962,0.5863514419852448,0.5755614161272277
2,0.7019199849952831,0.5372807017543859,0.6230825100297078,0.6637168141592921,0.6583490269930948,0.6691817572099262,0.6559294871794872
3,0.6628666530598916,0.5679824561403509,0.586659127848755,0.7079646017699115,0.7047021943573668,0.7189805499664654,0.7019899304723087
4,0.6261334786684236,0.6271929824561403,0.553267908128748,0.7522123893805309,0.7435372005044136,0.7590543259557344,0.745003223726628
5,0.5919696707445435,0.6732456140350878,0.523078974449465,0.7964601769911505,0.7866856419987349,0.8039906103286385,0.7898779206079716
6,0.5608345102503133,0.7192982456140351,0.4964438507635346,0.8230088495575221,0.8123809523809524,0.8299798792756539,0.8166774821544451
7,0.5325275842535517,0.7609649122807017,0.47296463767681274,0.8230088495575221,0.8123809523809524,0.8299798792756539,0.8166774821544451
8,0.5073537490846015,0.7960526315789473,0.4525105333100341,0.831858407079646,0.8224225173940544,0.8418846411804158,0.82642089093702
9,0.48538549545809356,0.8267543859649122,0.4347496110499107,0.8584070796460177,0.8469551282051282,0.8630114017437961,0.8522875816993464
10,0.4660073439883278,0.8377192982456141,0.41899213630617277,0.8584070796460177,0.8469551282051282,0.8630114017437961,0.8522875816993464
11,0.44899755550758863,0.8486842105263158,0.4049937308539908,0.8672566371681416,0.8557382333978079,0.8700536552649228,0.8609858115312065
12,0.4338163858782797,0.8596491228070176,0.3923018102168217,0.8672566371681416,0.8557382333978079,0.8700536552649228,0.8609858115312065
13,0.4204281685263421,0.8793859649122807,0.38089722491774547,0.8849557522123894,0.8743464052287582,0.8841381623071765,0.8785247663937816
14,0.4082378289438763,0.8881578947368421,0.37034096534410565,0.8938053097345132,0.8842226613965745,0.8911804158283032,0.887375415282392
15,0.39744254275664403,0.8947368421052632,0.3608449700067641,0.911504424778761,0.9052649228705567,0.9052649228705567,0.9052649228705567
16,0.3875907241031996,0.8947368421052632,0.35203333726142083,0.911504424778761,0.9052649228705567,0.9052649228705567,0.9052649228705567
17,0.3786244300260516,0.8991228070175439,0.34390890794053586,0.9380530973451328,0.9320598006644518,0.9361167002012072,0.9340008343763037
18,0.3703538685750097,0.9013157894736842,0.3363281124001244,0.9380530973451328,0.9320598006644518,0.9361167002012072,0.9340008343763037
19,0.3628518762469382,0.9100877192982456,0.32939506625680004,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
20,0.3558652761688612,0.9122807017543859,0.32288306031503605,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
21,0.34942760947253154,0.9144736842105263,0.31683960021086655,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
22,0.3434189663213712,0.9144736842105263,0.3111626102984811,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
23,0.33781323271666414,0.9232456140350878,0.3058408116596799,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
24,0.33254473651827904,0.9298245614035088,0.3008114725909312,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
25,0.3276619786073516,0.9320175438596491,0.29613507294878366,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
26,0.32300289755219774,0.9364035087719298,0.29165467471496825,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
27,0.3186072936954509,0.9407894736842105,0.28740718686948363,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
28,0.314451579696501,0.9407894736842105,0.2833848871947983,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
29,0.3105254665912158,0.9451754385964912,0.279564857075955,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
30,0.30678606173042566,0.9473684210526315,0.27591231057997534,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
31,0.303193833176231,0.9473684210526315,0.27239869113663295,0.9469026548672567,0.9431589537223339,0.9431589537223339,0.9431589537223339
32,0.2997727539693431,0.9473684210526315,0.2690315134058734,0.9557522123893806,0.9547764227642277,0.9502012072434608,0.9523970005897716
33,0.2964973989468618,0.9473684210526315,0.2658070184996539,0.9557522123893806,0.9547764227642277,0.9502012072434608,0.9523970005897716
34,0.2933494338035159,0.9473684210526315,0.2626881999375339,0.9557522123893806,0.9547764227642277,0.9502012072434608,0.9523970005897716
35,0.29034031312469105,0.9473684210526315,0.2596967371195134,0.9557522123893806,0.9547764227642277,0.9502012072434608,0.9523970005897716
36,0.28741923859927815,0.9473684210526315,0.25678695476709357,0.9557522123893806,0.9547764227642277,0.9502012072434608,0.9523970005897716
37,0.2846165064257145,0.9473684210526315,0.2539818772317773,0.9557522123893806,0.9547764227642277,0.9502012072434608,0.9523970005897716
38,0.2819452745955686,0.9473684210526315,0.2513056829836024,0.9557522123893806,0.9547764227642277,0.9502012072434608,0.9523970005897716
39,0.2793525003393574,0.9473684210526315,0.24869564167985517,0.9646017699115044,0.9621059691482227,0.9621059691482227,0.9621059691482227
40,0.27684447435882026,0.9473684210526315,0.2461644258758641,0.9646017699115044,0.9621059691482227,0.9621059691482227,0.9621059691482227
41,0.27446357689822243,0.9473684210526315,0.24375769259559116,0.9646017699115044,0.9621059691482227,0.9621059691482227,0.9621059691482227
42,0.2721181331507056,0.9473684210526315,0.24138001840100676,0.9646017699115044,0.9621059691482227,0.9621059691482227,0.9621059691482227
43,0.2698369754298636,0.9517543859649122,0.2390621142113773,0.9646017699115044,0.9621059691482227,0.9621059691482227,0.9621059691482227
44,0.2676224709982058,0.9517543859649122,0.2368077044688021,0.9646017699115044,0.9621059691482227,0.9621059691482227,0.9621059691482227
45,0.26547094984350156,0.9539473684210527,0.2346111657574785,0.9646017699115044,0.9621059691482227,0.9621059691482227,0.9621059691482227
46,0.26339354555552147,0.9539473684210527,0.23248887684795372,0.9646017699115044,0.9621059691482227,0.9621059691482227,0.9621059691482227
47,0.26134878318161825,0.9539473684210527,0.23038098520415345,0.9646017699115044,0.9621059691482227,0.9621059691482227,0.9621059691482227
48,0.2593700566999987,0.9539473684210527,0.22835176002157115,0.9646017699115044,0.9621059691482227,0.9621059691482227,0.9621059691482227
